time,actionName,score,cost,distanceCost,totalCost,hunger,sleep,money,inventory0.00,Eat,0.74,0.20,0.00,0.20,49.00,51.00,10.00,0.00
90.32,Work,0.98,0.40,0.10,0.45,7.00,98.00,90.00,0.00
93.99,Work,0.98,0.40,0.10,0.45,8.00,97.00,90.00,30.00
94.10,DropOffResource,0.30,0.30,0.09,0.34,8.00,97.00,90.00,50.00
96.62,Work,0.98,0.40,0.10,0.45,9.00,96.00,90.00,100.00
97.18,Eat,0.17,0.20,0.00,0.20,9.00,96.00,90.00,100.00
97.29,Work,0.98,0.40,0.10,0.45,0.00,96.00,80.00,100.00
102.27,DropOffResource,1.00,0.30,0.09,0.34,1.00,95.00,80.00,100.00
104.72,DropOffResource,1.00,0.30,0.09,0.34,1.00,95.00,80.00,100.00
104.79,Work,0.98,0.40,0.10,0.45,1.00,95.00,80.00,100.00
105.34,DropOffResource,1.00,0.30,0.09,0.34,1.00,95.00,80.00,100.00
107.25,Work,0.97,0.40,0.10,0.45,2.00,94.00,100.00,0.00
110.92,Work,0.97,0.40,0.10,0.45,2.00,94.00,100.00,20.00
111.00,Eat,0.04,0.20,0.00,0.20,2.00,94.00,100.00,40.00
111.08,Work,0.97,0.40,0.10,0.45,2.00,94.00,100.00,60.00
111.15,DropOffResource,0.95,0.30,0.09,0.34,2.00,94.00,100.00,90.00
113.65,Work,0.97,0.40,0.10,0.45,3.00,93.00,100.00,100.00
114.20,Work,0.97,0.40,0.10,0.45,3.00,93.00,100.00,100.00
119.31,DropOffResource,1.00,0.30,0.09,0.34,4.00,92.00,100.00,100.00
121.78,DropOffResource,1.00,0.30,0.09,0.34,5.00,91.00,100.00,100.00
121.85,DropOffResource,1.00,0.30,0.09,0.34,5.00,91.00,100.00,100.00
121.93,Work,0.97,0.40,0.10,0.45,5.00,91.00,100.00,100.00
122.48,DropOffResource,1.00,0.30,0.09,0.34,5.00,91.00,100.00,100.00
124.38,Work,0.96,0.40,0.10,0.45,5.00,91.00,120.00,0.00
128.04,Work,0.96,0.40,0.10,0.45,6.00,90.00,120.00,20.00
128.11,Work,0.96,0.40,0.10,0.45,6.00,90.00,120.00,40.00
128.19,DropOffResource,0.65,0.30,0.09,0.34,6.00,90.00,120.00,70.00
130.71,DropOffResource,1.00,0.30,0.09,0.34,6.00,90.00,120.00,100.00
130.79,Work,0.96,0.40,0.10,0.45,6.00,90.00,120.00,100.00
131.35,Eat,0.12,0.20,0.00,0.20,6.00,90.00,120.00,100.00
131.47,Work,0.97,0.40,0.10,0.45,0.00,90.00,110.00,100.00
136.44,Work,0.97,0.40,0.10,0.45,1.00,89.00,110.00,100.00
136.57,Work,0.97,0.40,0.10,0.45,1.00,89.00,110.00,100.00
136.67,Work,0.97,0.40,0.10,0.45,1.00,89.00,110.00,100.00
136.76,Work,0.97,0.40,0.10,0.45,2.00,88.00,110.00,100.00
136.83,DropOffResource,1.00,0.30,0.09,0.34,2.00,88.00,110.00,100.00
139.33,DropOffResource,1.00,0.30,0.09,0.34,2.00,88.00,110.00,100.00
139.41,DropOffResource,1.00,0.30,0.09,0.34,2.00,88.00,110.00,100.00
139.48,DropOffResource,1.00,0.30,0.09,0.34,2.00,88.00,110.00,100.00
139.59,Work,0.95,0.40,0.10,0.45,2.00,88.00,130.00,10.00
143.25,Work,0.95,0.40,0.10,0.45,3.00,87.00,130.00,40.00
143.32,Work,0.95,0.40,0.10,0.45,3.00,87.00,130.00,60.00
143.40,Work,0.95,0.40,0.10,0.45,3.00,87.00,130.00,80.00
143.48,DropOffResource,0.95,0.30,0.09,0.34,3.00,87.00,130.00,90.00
146.00,Eat,0.06,0.20,0.00,0.20,3.00,87.00,130.00,100.00
146.08,DropOffResource,1.00,0.30,0.09,0.34,3.00,87.00,130.00,100.00
146.15,DropOffResource,1.00,0.30,0.09,0.34,3.00,87.00,130.00,100.00
146.26,Work,0.94,0.40,0.10,0.45,3.00,87.00,150.00,20.00
146.83,Work,0.94,0.40,0.10,0.45,4.00,86.00,150.00,30.00
151.93,DropOffResource,0.30,0.30,0.09,0.34,5.00,85.00,150.00,50.00
154.41,DropOffResource,1.00,0.30,0.09,0.34,5.00,85.00,150.00,100.00
154.48,DropOffResource,1.00,0.30,0.09,0.34,5.00,85.00,150.00,100.00
154.56,DropOffResource,1.00,0.30,0.09,0.34,5.00,85.00,150.00,100.00
154.63,Work,0.94,0.40,0.10,0.45,5.00,85.00,150.00,100.00
155.18,DropOffResource,1.00,0.30,0.09,0.34,5.00,85.00,150.00,100.00
157.10,Work,0.92,0.40,0.10,0.45,6.00,84.00,170.00,0.00
160.77,Eat,0.12,0.20,0.00,0.20,6.00,84.00,170.00,20.00
160.84,Work,0.92,0.40,0.10,0.45,6.00,84.00,170.00,40.00
160.92,DropOffResource,0.65,0.30,0.09,0.34,6.00,84.00,170.00,70.00
163.33,DropOffResource,1.00,0.30,0.09,0.34,7.00,83.00,170.00,100.00
163.43,DropOffResource,1.00,0.30,0.09,0.34,7.00,83.00,170.00,100.00
163.52,DropOffResource,1.00,0.30,0.09,0.34,7.00,83.00,170.00,100.00
163.57,DropOffResource,1.00,0.30,0.09,0.34,7.00,83.00,170.00,100.00
163.67,Work,0.91,0.40,0.10,0.45,7.00,83.00,190.00,20.00
164.24,DropOffResource,0.30,0.30,0.09,0.34,7.00,83.00,190.00,50.00
165.82,Eat,0.14,0.20,0.00,0.20,7.00,83.00,210.00,0.00
165.94,Work,0.90,0.40,0.10,0.45,0.00,83.00,200.00,0.00
time,actionName,score,cost,distanceCost,totalCost,hunger,sleep,money,inventory0.00,Work,1.00,0.40,0.00,0.00,49.00,51.00,10.00,0.00
